id,amount
92620,99.0
92620,99.0
20011,100.0
90069,25.0
90069,25.0
92506,500.0
94606,10000.0
90024,75000.0
80202,25000.0
94062,10000.0
94941,250.0
20036,65000.0
95124,25.0
95124,25.0
94129,200000.0
19103,25.0
94129,300000.0
23451,1000.0
92285,50.0
94118,10000.0
92069,25.0
94301,250000.0
33146,500000.0
33146,250000.0
10011,1000000.0
94301,1000000.0
92085,250000.0
98102,50000.0
33146,500000.0
90245,65000.0
92618,1000000.0
92618,-150000.0
95865,10000.0
95320,5000.0
91755,5000.0
92507,5000.0
95814,5000.0
95814,5000.0
95814,25000.0
94566,200.0
22314,10000.0
95814,1000.0
91773,10000.0
91350,100.0
92251,200.0
93003,300.0
95677,300.0
91784,100.0
95125,100.0
95814,5000.0
92652,100.0
95023,100.0
95630,200.0
91355,5000.0
90720,100.0
92563,100.0
91755,5000.0
93619,150.0
22314,36000.0
94563,100.0
92649,100.0
94002,150.0
22314,18150.0
95814,10000.0
94086,100.0
92705,500.0
91913,200.0
94920,100.0
95814,5000.0
95320,5000.0
94086,50.0
95818,12500.0
95685,250.0
95814,5000.0
95814,5000.0
95834,25000.0
92009,200.0
95815,25000.0
95865,10000.0
22314,200000.0
92064,100.0
22314,225000.0
91381,100.0
22314,400000.0
94063,1000.0
91775,130.0
91103,100.0
92821,500.0
92020,100.0
91604,100.0
94087,250.0
94526,150.0
90028,6500.0
95814,5000.0
90028,2500.0
78418,1000.0
90210,500.0
91601,1000.0
22314,500.0
90028,2500.0
91362,1000.0
91207,500.0
91202,2000.0
94087,200.0
91775,250.0
95818,12500.0
94087,300.0
95814,5000.0
94965,500.0
92037,100.0
94087,400.0
94557,250.0
75240,500.0
91775,250.0
94087,400.0
95401,100.0
91775,100.0
60173,2000.0
93921,100.0
95814,1000.0
20009,2000.0
940664638,100.0
946192009,100.0
949012468,100.0
922850298,1000.0
958163426,200.0
947091151,100.0
900461237,1000.0
94301,250000.0
941222939,100.0
99003,100.0
91107,5000.0
92595,1000.0
90067,5000.0
10016,5000.0
94129,250000.0
900642319,2500.0
90274,100.0
941174029,1800.0
363534054,100.0
92104,100.0
94595,1000.0
91104,250.0
73703,100.0
90292,2500.0
92037,500.0
95603,200.0
2860,6700.0
94066,100.0
90046,500.0
92821,1000.0
95123,100.0
